"Id@github","Link@linkedin","Confidence"
"baalexander","bmalexander","70"
"baweaver","brweaver","76"
"bgoldman","bgoldman","78"
"brandonblack","brandongblack","75"
"brandoncurtis","brandoncurtis","73"
"brandondove","brandondove","74"
"brandonfujii","brandonfujii","74"
"bartt","bartt","74"
"gabeharms","gabehayes","71"
"dhirajsharma","dhirajsharma","70"
"erikdbrown","erikdbrown","78"
"erikreed","erikrdreed","71"
"erikrose","erikrose","73"
"erikvanzijst","erikvanzijst","73"
"erkgmz","erkgmz","70"
"dabrahams","daveabrahams","65"
"davedash","davedash","70"
"davekrupinski","davekrupinski","70"
"davemun","davemun","70"
"davenquinn","davenquinn","70"
"daveray","daveray78","65"
"daveschumaker","daveschumaker","75"
"dcarroll","dcarroll5","75"
"dgrijalva","dgrijalva","83"
"dherman","dherman16","70"
"dnielsen","dwnielsen","75"
"joyvuu-dave","joyvuudave","70"
"jacques-n","jacquesn","70"
"cleverdevil","cleverdevil","70"
"goldsmith","goldsmith1","70"
"graehl","jgraehl","71"
"jhersh","jhersh","70"
"jlipps","jlipps","70"
"jonahwilliams","jonahawilliams","74"
"jonalter","jonalter","76"
"jonathan-potter","jonathanmpotter","78"
"jonathanmoore","jonathanmoore213","74"
"jonathantneal","jonathanneal","70"
"jskirst","jkirst","70"
"jspooner","jspooner","73"
"jwilkins","jwilkins","78"
"artgillespie","artgillespie","70"
"ArtTucker","arttucker","78"
"osterman","osterman","77"
"poojabansal","poojakbansal","70"
"sterlingbaldwin","sterlingbaldwin","76"
"peoplemerge","peoplemerge","74"
"staringispolite","staringispolite","78"
"wuputah","wuputah","74"
"tiagorg","tiagorg","74"
"veronicaerick","veronicaerick","70"
"edwin-lai","edwinlai","70"
"edwinlin1987","edwinlin1987","75"
"ehzhang","ehzhang","70"
"mfaywu","mfaywu","70"
"artgo","artgo","73"
"hungtrv","hungtrv","70"
"gujunli","gujunli","72"
"ibrahimansari","ibrahimansari12","70"
"gcpantazis","gpantazis","70"
"georgethomas111","georgethomasst","75"
"georgeweiler","george-weiler","78"
"jdaggett","jdaggett","70"
"jemiahlee","jemiahlee","78"
"jeremybrenner","jeremybrenner1","70"
"jeremydw","jeremydw","74"
"JeremyIR","jeremyir","70"
"JeremyNixon","jeremyvnixon","83"
"jeremyruppel","jeremyruppel","82"
"JeremySilverTongue","jeremysilvertongue","81"
"jeremytoce","jeremytoce","78"
"jgillick","jgillick","78"
"jhubert","jhubert","70"
"dustin520","dustin520","70"
"DustinBaker22","dustinbaker1","70"
"gotascii","gotascii","78"
"jcccf","jcccf","70"
"JustinBeaudry","justinbeaudry","78"
"justindhill","justinhill2","70"
"JustinDSN","justindsn","70"
"justindstewart","justinnstewart","70"
"JustinLloyd","justinlloyd","75"
"justyn-clark","justynclark","70"
"patmoore","patbmoore","75"
"patrick-armitage","patrickarmitage","70"
"patrick-mcdougle","patrickmcdougle","74"
"PatrickAuld","patrickauld","82"
"patrickherrmann","patrickherrmann","73"
"patrickm02L","patrickm02l","73"
"patrickmcclory","patrickmcclory","74"
"pcostell","phcostello","70"
"pdevine","pdevine1","70"
"phunt","phunt1","74"
"preillyme","preilly","69"
"ptierney","ptierney","70"
"pwfisher","pwfisher","70"
"pzatrick","pzatrick","78"
"xiaoyifan","xiaoyifan","75"
"yifange","yifange","74"
"saadmir","saadmir","70"
"ohlhaver","ohlhaver","76"
"poonamshah","poonamshah2","70"
"ebmajor","ebmajor","70"
"hamiltop","hamiltop","90"
"hunterbridges","hunterbridges","70"
"DhruvKalaria","dhruvkalaria","70"
"gamell","gamell","82"
"joannejang","joannejang","70"
"cjnething","nething","65"
"julianhyde","hjulianrhyde","75"
"JulieHeidt","julieaheidt","70"
"juliosalvat","juliosalvat","73"
"amZotti","amzotti","70"
"anthonywittemann","anthonywittemann","70"
"chovy","chovy","70"
"nyteshade","nyteshade","70"
"pskim","pskim1","78"
"pbailis","pbailis","74"
"pdehaan","pdehaan","74"
"peterfschaadt","peterschaadt","70"
"peterhinson","peterhinson","70"
"pete0emerson","4petepeterson","75"
"prschulz","prschulz","74"
"pshatara","pshatara","70"
"pxtang","pxtang","70"
"robfletcher","robfletcher1","74"
"robgraeber","robgraeber","74"
"rrbrambley","rrbrambley","84"
"saifrahmed","saifrahmed","70"
"ebroder","ebroder","78"
"eculver","eculver","70"
"evan-carey","evancarey","74"
"EvanGoss","evangoss","70"
"evantzhao","evanzhao","70"
"evanvreeland","evanvreeland","70"
"ewinslow","ewinslow","74"
"lakshmi-kannan","lakhikannan","67"
"MarcBernstein","marcbernstein","75"
"marccampbell","marcbcampbell","74"
"marcel-valdez","marcelvaldez","74"
"marcellodesales","marcellodesales","73"
"marcharper","marcharper1","70"
"marcoshack","marcoshack","72"
"marcuscarr","marcuscarr","70"
"mcastilho","mcastilho","74"
"mjabali","jabali","70"
"arturosevilla","arturosevilla","70"
"jlamoree","jlamoree","70"
"josephAnda","josephanda","74"
"josephbaena","josephbaena","78"
"JosephLauSF","josephlau","73"
"JosephMoniz","josephmoniz","74"
"daftshady","daftshady","70"
"reedobrien","reedobrien","72"
"tigershen23","tigershen","83"
"xingzhong","xingzhongxu","75"
"Vrturo","vrturo","70"
"shevek","shevek","70"
"irosenb","irosenb","70"
"isaacmoore","isaacymoore","70"
"dahal","pdahal","78"
"kellyhiggins","kellyhiggins1","70"
"arulprasad","arulprasadj","67"
"micahstubbs","micahstubbs","74"
"ed-flanagan","edflanagan0","74"
"etanlubeck","etanlubeck","70"
"kevbaker","kevbaker","67"
"kevinzwhuang","kevinkhuang","82"
"kevhuang","kevhuang","78"
"Kevin-Prichard","kevinprichard","78"
"kevinastone","kevinmstone","76"
"kevinaujla","kevinaujla","78"
"kevinburke","kvnburke","75"
"kevinchappell","kevintchappell","72"
"kevincoakley","kevcoakley","76"
"kevincon","kevincon","70"
"kevinelliott","qkevinelliott","75"
"KevinPike","kevinepike","78"
"kevinsawicki","kevinsawicki","70"
"kevinswiber","kevinswiber","70"
"kevinwestern","kevinwestern","78"
"kfitzpatrick","cg1kfitzpatrick","74"
"kkragenbrink","kkragenbrink","74"
"kmeraz","kmeraz","74"
"krohling","krohling","70"
"anantag","anantag","70"
"jae-shin","jaeshin","78"
"jaekwon","jaekwon","74"
"carlbernardo","carlbernardo","70"
"carlosdp","carlosdp","70"
"bassettsj","bassettsj","78"
"bjorg","bjorg","70"
"natea","natea","73"
"natebirkholz","natebirkholz","70"
"natemcguire","natemcguire","78"
"natewalck","natewalck","74"
"natewinn","natewinn","70"
"reidmix","reidmix","74"
"xissy","xissy","74"
"shichao-an","shichaoan","78"
"stuartstein","stuartstein","70"
"ngokevin","ngovkevin","74"
"vikmeup","vikmeup","75"
"prafulrana","prafulrana","78"
"sdao","shdao","78"
"sdwebster","scawebster","70"
"sfackler","sfackler","70"
"sfines","fines","70"
"slacy","slacy","70"
"smparkes","smparkes","70"
"snwight","smwight","70"
"srubin","sdrubin","70"
"stevegury","stevegury","73"
"stevejs","stevejs","70"
"steveklebanoff","steveklebanoff","72"
"stevemanuel","stevemanuel","70"
"StevenChung","stevenchung1","70"
"stevendbrown","stevenmbrown04","67"
"stevendnoble","stevennoble","70"
"stevenheidel","stevenheidel","73"
"stevenjing","stevenjing","78"
"stevenkword","stevenword","71"
"stevenolen","stevenlnolen","70"
"stevenrich","stevenrich91","74"
"stevetjoa","stevetjoa","70"
"steveyen","steveyen","70"
"stgallagher","scgallagher","74"
"straversi","straversi","73"
"gpaumier","gpaumier","74"
"BasSondag","bas-sondag","70"
"armandofox","armandofox","73"
"huyhong","huyhong","74"
"aphyr","aphyr","70"
"kflorence","kflorence","72"
"kpennell","kpennell","70"
"ksespinola","ksespinola","75"
"Kyle-Falconer","kylefalconer","70"
"KyleBarbauld","kylebarbauld","70"
"kyleburton","kyleburton1","74"
"kylehayes","kylehayes","75"
"kylehilton92","kylehilton92","70"
"kyleludlow","kyleludlow","74"
"kylemanna","kylemanna","70"
"oscartaracena","ioskartaracena","70"
"tbuckley","tombuckley","70"
"tleach","teleach","74"
"tlrobinson","tlrobinson","74"
"tmaiaroto","tmaiaroto","70"
"tmarthal","tmarthal","74"
"tombenner","tombenner","82"
"tomjakubowski","tjakubowski","74"
"tphummel","tomphummel","70"
"saikat","saikatc","81"
"nguyenhuy","nguyenhuy89","70"
"stcalica","stcalica","82"
"voberoi","voberoi","70"
"jaisingh","jaising","70"
"luigisison","luigisison","74"
"garrettwong","garrettwong58","76"
"goodgravy","goodgravy","73"
"jagill","jagill","75"
"jamesalbert","jamesalbert1","76"
"JamesCarl","jamesecarl","74"
"jamesdaniels","jamesdaniels","82"
"jameshwang","jameshwang1","82"
"thejameskyle","thejameskyle","82"
"jameskyle","jamesfkyle1","70"
"jamespedwards42","jamesedwards1","70"
"jameswhiteman","jameswhiteman","74"
"jdforrester","jdforrester","70"
"jmayfield74","jmayfield2","70"
"jwachira","jwachira","70"
"Mavmeister","mavmeister","78"
"lightster","lightster","70"
"m-renaud","merenaud","70"
"mateolan","mateolan","73"
"mattahorton","mattshorton","70"
"mattbaird","mattbaird","74"
"mattbarackman","mattbarackman","70"
"mattbasta","mattbasta","74"
"mattcano","mattcano","70"
"mattdodge","mattdodge","74"
"mattdot","mattdot","70"
"MattHarrington","mattharrington","73"
"matthauck","matthauck","65"
"matthew-brett","matthewbrett","74"
"matthewachan","matthewchan","74"
"matthewkulp","matthewkulp","70"
"MatthewWelch","matthewwelch2","70"
"mattlevan","mattlevan","70"
"mattpardee","mattpardee","74"
"mattpetrie","mattpetrie","74"
"mattrudder","mattrudder","70"
"mattsnider","mattsnider4","70"
"mattsoldo","mattsoldo","82"
"mattwkelly","mattwkelly","78"
"mcowger","mcowger","70"
"mdlincoln","mdlincoln","75"
"mduvall","mduvall","67"
"megahall","megahall","70"
"mattlong","mattluongo","82"
"mluedke2","mluedke2","78"
"mmontag","mamontag","67"
"mmorey","mmorey","70"
"edwardvalentini","edwardvalentini","78"
"carriesmith","carriesmith8","70"
"smashind","smashind","70"
"rekhajoshm","rekhajoshm","78"
"mpharrigan","mharrigan","70"
"mpurland","mpurland","78"
"mrduncan","mrduncan","81"
"mrichardson23","mrichardsontid","71"
"msparks","msparks81","65"
"mtodd","mptodd","71"
"webbower","webbower","70"
"wallerdev","wallerdev","78"
"yalcindo","yalcindo","70"
"praphull27","praphull","74"
"Zeelot","zeelot","74"
"shobhitg","shobhit9","74"
"oguzbilgic","oguzbilgic","74"
"oguzserdar","oguzserdar","78"
"viksit","viksit","78"
"kenny-hibino","ken-hibino","78"
"kgilmer","kengilmer","65"
"kmayer","kemayer","75"
"krobertson","kenrobertson","76"
"jmcgarr","jmcgarr","70"
"mikedfunk","mikejfunk","74"
"mikedougherty","mikedougherty1701","67"
"MikeEmery","mike-emery","73"
"mikeerickson","mikerickson","74"
"mikeflynn","mikeflynn6","73"
"mikefowler","mikefowler","74"
"mikelblake","mikelblake","70"
"mikemccabe","mikemccabe1","70"
"mikemccready","mikemccreadymba","75"
"MikeMeaney","mikemeaney","70"
"mikespangler","mikespangler","70"
"mikestecker","mikestecker","70"
"mikeyoon","mikeyoon","75"
"mivanov","miivanov","72"
"mmaelzer","maelzer","82"
"moneill","mdoneill","70"
"LuqiPan","luqipan","78"
"taylorleh","taylorleh","75"
"mpercy","mapercy","70"
"msassak","msassak","78"
